,category,submitted_by,published,updated,proposal/needed,Resources to be saved or improved,Benefits,Technology type,Technical fields,Stage of development,Project summary
Sulfur-Resistant Palladium or Palladium-Alloy Membranes for Hydrogen Separation,Energy,Virginia Tech Intellectual Properties Inc,"November 16, 2014","December 21, 2015",proposal,,This invention provides materials and methods of preparation of sulfur-tolerant membranes based on palladium or palladium alloys.,,Energy > Energy generation (Others),,
Sunlight-Harvesting Windows for Enhanced Power Generation,Energy,University of Florida,"June 06, 2016","June 06, 2016",proposal,,"Co-extrudes transparent inorganic nanoparticles with transparent polymers, scattering incoming sunlight laterally toward solar cells

Uses metal nanocrystals to scatter infrared light, greatly increasing electrical power output

Allows use of existing window structures, minimizing alterations and costs 

Employs transparent nanoparticles and polymers, keeping windows transparent",,Energy > Solar,,
Super self-cleaning material,Chemicals and Advanced Materials,"Neatrition Technology Inc., Beijing","August 07, 2017","August 09, 2017",proposal,"Electricity, Water, Other","Super self-cleaning materials of Neatrition GF-003 series  is researched and developmented for photovoltaic .It  has excellent transmittance and outdoor weatherability .It can reduce the efficiency of power due to the photovoltaic panel surface dust  , at the same time can improve the efficiency power more than 10%.",Material,Chemicals & Advanced Materials > Surface & finishing materials,Proven record of commercial use,We can now provide trial products and are able for mass production.
Super-Iron Nanoparticle based battery,Energy,George Washington University,"January 16, 2015","December 21, 2015",proposal,,"1) A higher capacity, higher power, than currently available batteries


2) Environmentally benign materials


3) Expected to help improve devices ranging from portable consumer electronics, and lightweight medical to military devices",,Energy > Energy storage,,
Super-transparent electrodes for photovoltaic applications,Energy,Boston College,"December 22, 2015","December 22, 2015",proposal,,Reduces the use of collection fingers,,Energy > Solar,,
"Superabsorbent, Sustainable Aerogels",Water,Wisconsin Alumni Research Foundation (WARF),"November 25, 2015","November 25, 2015",proposal,,"1) Highly porous, lightweight and sustainable


2) Absorbs huge amount of oil and organic solvent (up to 100 times its own weight)


3) High compressive strength and ultralow density


4) CNFs are derived from biomass.


5) PVA is a cheap synthetic polymer with excellent biocompatibility.


6) Freeze-drying is a green, inexpensive and scalable process.",,"Water > Water treatment
Pollution & Waste > Water",,
Supercapacitive Bioelectrochemical Systems for Water Treatment and Water Desalination,Water,STC UNM,"February 24, 2017","February 24, 2017",proposal,,"1. Reduced operational costs

2. No implementation of harsh chemicals

3. Environmentally sustainable",,Water > Water treatment,,
Superior Bioremediation Enzymes,Pollution and Waste,Stanford University,"November 25, 2015","November 25, 2015",proposal,,"1) Remediates multiple pollutants in mixed waste


2) One enzyme can reduce multiple heavy metal contaminantsInsensitive to oxygen and nitrate 


3) Unlike existing Shewanella and Geobacter remediation systems, reduction with ChrR6 is not inhibited by oxygen or nitrates


4) Minimal chance of re-oxidation 


5) ChrR6 appears to reduce Cr(VI) and U(VI) to oxygen-stable Cr(III) and U(IV) end products",,Pollution & Waste > Bio-remediation,,
Superoleophobic and Superhydrophilic Fabric Filters for Rapid Water-Oil Separation,Pollution and Waste,University of Pittsburgh,"November 25, 2015","November 25, 2015",proposal,,No significant change in either the oil-repellency of the cotton or the separation efficiency of the filter after submerging the treated cotton in water-oil mixture.,,Pollution & Waste > Water,,
Supervisory control and data acquisition systems for water and effluent management,Pollution and Waste,Ministry of Economy,"December 21, 2015","December 21, 2015",proposal,Water,"1. Highly flexible

2. Cost-effective

3. High end technology",Facility,Pollution & Waste > Waste treatment,Proven record of commercial use,Proven record of commercial use
Supply of hydro power technologies,Energy,UNOSSC,"July 31, 2014","July 31, 2014",proposal,Other,n/a,Device or equipment,Energy > Hydro,,
Supported Catalysis For In Situ Synthesis Of High Energy Density Nanocomposites,Energy,Northwestern University,"November 16, 2014","December 21, 2015",proposal,,"1) Combination of inorganic and polymeric materials


2) Energy densities exceed current ceramic or polymer-based insulators


3) Significant potential for future high-energy capacitor applications


4) Excellent permittivities


5) High breakdown strength insulator properties


6) Readily processable matrix for high energy dielectric applications


7) Scaleable and cost effective manufacturing",,Energy > Energy storage,,
Supported Catalyst for the Dehydrogenation of Hydrocarbons and Method of Preparation of the Catalyst,Pollution and Waste,Eco-Patent Commons,"March 10, 2015","March 10, 2015",proposal,Other,"This patent demonstrates an increased in catalyst life. Therefore, it reduces the frequency needed to replace the catalyst. ",Material,Pollution & Waste > Recycling & reuse,,
Supported NI-M Materials for Electrooxidation of Hydrazine,Energy,STC UNM,"November 17, 2014","December 21, 2015",proposal,,"1)  Durable


2) Inexpensive to manufacture


3) Highly active in reaction of electrooxidation of hydrazine


4) Increased stability and activity",,Energy > Fuel cells,,
Supramolecular Complexes as Photocatalysts for the Production of Hydrogen from Water,Energy,Virginia Tech Intellectual Properties Inc,"December 22, 2015","December 22, 2015",proposal,,High efficiency and stability,,Energy > Energy generation (Others),,
Surface Display Of Cellulolytic Enzymes And Enzyme Complexes On Bacillus Subtilis,Energy,"University of California, Los Angeles (UCLA)","November 24, 2015","December 21, 2015",proposal,,"1) No requirement of applying purified enzymes to a biomass solution.


2) Degrades cellulose at a higher rate than current methods.


3) Has a more robust genetic system and is widely used in industry.


4) The complexes displayed are stable for several days.


5) The system allows for potential tailoring to degrade different types of biomass.",,Energy > Biomass/Bioenergy,,
Surface Treatment For Preventing Potential Induced Degradation of Photovoltaic Modules,Energy,Arizona Tech Enterprises (AzTE),"December 23, 2015","December 23, 2015",proposal,,"1) Convenient – Can be as easy to apply as spraying an aerosol can.


2) Inexpensive – Costs substantially less than micro-inverter alternatives.


3) Retrofit – Can be employed on PV modules already in operation as well as those being manufactured.",,Energy > Solar,,
Surfactants Derived From Naturally Occurring Polysaccharides,Chemicals and Advanced Materials,University of Massachusetts Lowell,"June 29, 2016","June 29, 2016",proposal,,"Advantages:

1. Renewable starting materials: Chitosan obtained from exoskeleton of shellfish; Alginate from food-waste and sea algae; pectin/poly (Galactouronic acid) from cell walls of plants and fruits.

2. Multiple bio-based surfactant developedSustainable and Green modification methods: Enzymatic or using microwave reactor.

3. Comparable characteristics & efficiency to NPEs: Low surface tension, good cleaning efficiency",,Chemicals & Advanced Materials > Detergents,,
Sustainable Organic Aerogels for Insulation,Chemicals and Advanced Materials,Wisconsin Alumni Research Foundation (WARF),"November 25, 2015","November 25, 2015",proposal,,"1) Highly porous and lightweight   

2) High compressive strength and strain-to-failure value

3) Excellent insulation properties   

4) Cellulose nanofibrilliated fibers are derived from sustainable biomass   

5) Freeze-drying is a green process   

6) Aerogels may highly repel or absorb moisture",,Chemicals & Advanced Materials > Insulation,,
